t [s]	 PWM output 3	 battery voltage (V)	 current (A)	 north velocity(m/s)	 down velocity (m/s)	 pitch (deg)	 voltage 1 (V)	throttle	rpm
337	1638	21.93954	36.38582	-4.078471	0.9685126	-13.18253	2.473118	1.6912	52893
337.5	1590	21.9983	34.49951	-4.452763	1.068104	-14.21446	2.44868	1.652	47814
338	1559	21.97236	32.97956	-4.656754	1.055595	-13.397	2.443793	1.6442	50412
338.5	1630	22.00384	28.40082	-4.43091	1.026259	-12.03055	2.453568	1.605	52350
339	1473	22.10334	18.50613	-3.920857	1.255199	-13.82713	2.468231	1.5815	49676
339.5	1583	22.1932	32.22881	-3.150397	1.590007	-13.22167	2.463343	1.6363	48961
340	1458	21.97728	32.65382	-2.368467	1.648861	-5.43136	2.463343	1.4796	45675
340.5	1585	21.80193	42.00001	-2.142998	1.075198	0.5250105	2.453568	1.5501	46402
341	1637	21.79818	40.18345	-1.997091	0.385884	-3.312189	2.458456	1.5031	43073
341.5	1588	21.79664	37.29779	-1.757128	-0.1072926	-2.64238	2.463343	1.5815	45070
342	1650	21.98785	29.11998	-1.533349	-0.4838719	-3.658835	2.453568	1.6128	49919
342.5	1611	21.97195	39.21391	-1.49074	-0.360351	-0.9530519	2.453568	1.5736	50164
343	1516	22.00685	33.73728	-1.799198	-0.2438034	0.1484781	2.463343	1.6442	51170
343.5	1487	22.18841	29.177	-1.993733	0.1313997	0.8232813	2.463343	1.5736	48381
344	1524	22.28316	16.58892	-1.976984	0.7406173	2.034637	2.463343	1.4953	46720
344.5	1616	22.24084	11.89914	-2.085301	1.379037	5.282239	2.458456	1.4404	44288
345	1607	21.76517	24.44565	-2.209894	1.534709	5.529523	2.443793	1.4953	45983
345.5	1685	21.82313	27.99796	-2.379298	0.9653599	1.311542	2.473118	1.558	46192
346	1607	21.73918	38.51991	-2.191464	0.329199	2.585369	2.42913	1.558	50914
346.5	1570	21.81041	41.67551	-2.111366	-0.2639005	2.735603	2.463343	1.6442	54736
347	1574	22.18245	30.25348	-1.87189	-0.2206106	0.138875	2.487781	1.5893	53307
347.5	1686	22.10375	18.14694	-1.767913	0.2830356	0.5097327	2.438905	1.5501	47370
348	1566	21.9948	34.67715	-1.581118	0.5103813	1.293795	2.458456	1.4953	45777
348.5	1608	21.86241	25.67064	-1.519877	0.4674366	2.749993	2.453568	1.6207	54012
349	1607	21.90188	32.61991	-1.408445	0.1846979	2.86799	2.453568	1.6128	50914
349.5	1669	21.95116	37.54393	-1.316216	-0.06887439	2.672905	2.42913	1.6363	50662
350	1586	22.01084	30.03934	-1.283541	0.0400127	6.175147	2.458456	1.6207	50788
350.5	1677	21.79375	29.75052	-1.353984	0.01103613	4.777833	2.438905	1.6363	52620
351	1695	21.78669	25.21445	-1.317823	-0.3567886	2.581075	2.453568	1.6598	49435
351.5	1587	22.0275	36.24059	-0.9084752	-0.4600559	-0.610005	2.468231	1.6442	52485
352	1646	22.15184	31.28935	-0.4839863	-0.03553063	0.6656262	2.468231	1.6598	54012
352.5	1597	22.02553	33.05299	-0.06098914	0.4323559	-0.1735004	2.473118	1.6285	50287
353	1644	21.9291	35.2359	0.5115124	0.3777309	-2.908355	2.434018	1.558	47261
353.5	1580	21.83438	39.56808	1.181066	0.1063506	-3.253195	2.438905	1.5815	50536
354	1601	22.03293	32.82412	2.014227	0.01985997	-5.580834	2.453568	1.6598	51298
354.5	1621	22.03493	21.10298	2.773944	0.2432924	-4.130975	2.453568	1.5893	51557
355	1691	21.96161	29.67545	3.36713	0.3287229	-4.593195	2.443793	1.5736	50287
355.5	1546	22.05021	30.38408	4.000708	0.5216	-3.486368	2.458456	1.6207	50164
356	1590	22.01496	28.54358	4.352373	0.869654	-2.107166	2.443793	1.6598	50536
356.5	1232	23.0626	0.0635879	4.996653	0.479562	-4.472172	2.512219	1.5658	48153
357	1268	23.07286	0.2170194	5.243346	0.1587428	-5.259275	2.517107	1.5971	48844
357.5	1100	23.22363	0.02871712	5.703474	0.2793163	-6.157182	2.521994	1.2288	28595
358	1100	23.23961	0.02625565	6.054993	0.3256522	-6.543405	2.521994	1.268	22535
358.5	1100	23.25663	0.02994785	6.406449	0.3705541	-6.705151	2.521994	1.0956	15057
359	1100	23.26229	0.02707614	6.681465	0.4021809	-6.889833	2.521994	1.0956	9018
359.5	1100	23.27292	0.02092247	6.904245	0.422458	-6.953566	2.517107	1.0956	5656
360	1100	23.29573	0.02543516	7.100441	0.4385004	-7.045016	2.517107	1.0956	0
360.5	1100	23.31263	0.03076834	7.257495	0.4498895	-7.06006	2.521994	1.0956	0
361	1100	23.32197	0.03117858	7.385955	0.4538902	-7.081136	2.521994	1.0956	0
361.5	1100	23.33457	0.03322981	7.473974	0.4489534	-7.034921	2.521994	1.0956	0
362	1100	23.33298	0.02707614	7.535946	0.4353777	-6.971038	2.521994	1.0956	0
362.5	1100	23.34729	0.02625565	7.571161	0.4206201	-6.886969	2.521994	1.0956	0
363	1100	23.34698	0.01764052	7.579055	0.4005691	-6.776459	2.521994	1.0956	0
363.5	1100	23.35811	0.01805076	7.561896	0.3780661	-6.638054	2.521994	1.0956	0
364	1100	23.37434	0.02912736	7.534222	0.3507719	-6.492463	2.521994	1.0956	0
364.5	1100	23.38817	0.03938347	7.478439	0.3257293	-6.332357	2.521994	1.0956	0
365	1100	23.3843	0.02917294	7.429575	0.2988632	-6.168414	2.521994	1.0956	0
365.5	1100	23.3835	0.02461467	7.369172	0.2713277	-5.995257	2.521994	1.0956	0
366	1100	23.38546	0.0147688	7.303801	0.2441081	-5.822776	2.521994	1.0956	0
366.5	1100	23.4024	0.02279136	7.229298	0.2209471	-5.632572	2.521994	1.0956	0
367	1100	23.41613	0.0295376	7.149754	0.1971265	-5.455075	2.521994	1.0956	0
367.5	1100	23.42461	0.03897323	7.056124	0.1745825	-5.266894	2.521994	1.0956	0
368	1100	23.41968	0.03145208	6.965285	0.1542181	-5.078813	2.521994	1.0956	0
368.5	1100	23.41957	0.02543516	6.865622	0.1340954	-4.888689	2.521994	1.0956	0
369	1100	23.41595	0.01312783	6.75429	0.1141952	-4.689284	2.521994	1.0956	0
369.5	1100	23.42685	0.01640978	6.636171	0.09465902	-4.490024	2.521994	1.0956	0
370	1100	23.44926	0.03117858	6.516456	0.07602904	-4.282407	2.521994	1.0956	0
370.5	1100	23.45485	0.03487078	6.388179	0.05905733	-4.083371	2.521994	1.0956	0
371	1100	23.44897	0.02871712	6.25939	0.04464373	-3.891532	2.521994	1.0956	0
371.5	1100	23.44766	0.02502492	6.127606	0.03193471	-3.700855	2.521994	1.0956	0
372	1100	23.45086	0.02338394	5.991502	0.02074665	-3.50705	2.521994	1.0956	0
372.5	1100	23.46202	0.02187971	5.853898	0.01602194	-3.314702	2.521994	1.0956	0
373	1100	23.46862	0.02789663	5.718524	0.008944135	-3.12	2.521994	1.0956	0
373.5	1100	23.47649	0.0295376	5.567174	-0.002562852	-2.927633	2.521994	1.0956	0
374	1100	23.47131	0.0319079	5.405247	-0.01777725	-2.722113	2.521994	1.0956	0
374.5	1100	23.4693	0.02297369	5.249158	-0.03283269	-2.538197	2.521994	1.0956	0
375	1100	23.4704	0.02133271	5.090333	-0.04694556	-2.348655	2.521994	1.0956	0
375.5	1100	23.4821	0.02962877	4.929758	-0.06200521	-2.154728	2.521994	1.0956	0
376	1100	23.48915	0.03569127	4.764985	-0.07442723	-1.97032	2.521994	1.0956	0
376.5	1100	23.49259	0.03364005	4.606265	-0.08589582	-1.799162	2.521994	1.0956	0
377	1100	23.48934	0.03528103	4.446536	-0.09650299	-1.633433	2.521994	1.0956	0
377.5	1100	23.48479	0.02256345	4.288136	-0.1058857	-1.46104	2.521994	1.0956	0
378	1100	23.4851	0.02092247	4.129826	-0.1136656	-1.30407	2.521994	1.0956	0
378.5	1100	23.49597	0.02666589	3.97481	-0.1227605	-1.157456	2.521994	1.0956	0
379	1100	23.49446	0.02370302	3.819893	-0.1302615	-1.007677	2.512219	1.0956	0
379.5	1100	23.50194	0.02379418	3.684937	-0.1354615	-0.8711374	2.521994	1.0956	0
380	1100	23.50095	0.02789663	3.549624	-0.1399548	-0.7475784	2.521994	1.0956	0
380.5	1100	23.49173	0.02324719	3.503705	-0.15109	1.336197	2.521994	1.0956	0
381	1100	23.49689	0.01517905	3.330513	-0.153652	0.0683352	2.521994	1.0956	0
381.5	1100	23.50993	0.0295376	3.173431	-0.1597138	-0.2881645	2.521994	1.0956	0
382	1100	23.50827	0.02748638	3.045223	-0.1653325	0.05980446	2.521994	1.0956	0
382.5	1100	23.51699	0.03405029	2.928628	-0.1683153	0.1672219	2.517107	1.0956	0
383	1100	23.513	0.02748638	2.82601	-0.1692216	-0.1775355	2.521994	1.0956	0
383.5	1100	23.51835	0.03528103	2.713513	-0.1706949	-0.3339387	2.521994	1.0956	0
384	1100	23.50888	0.02010198	2.644516	-0.1714549	-0.1580851	2.521994	1.0956	0
384.5	1100	23.51515	0.02502492	2.558646	-0.1719349	-0.1075917	2.521994	1.0956	0
385	1100	23.52468	0.03528103	2.493518	-0.1729385	0.9633528	2.521994	1.0956	0
385.5	1100	23.51619	0.02256345	2.430051	-0.1699098	0.1995545	2.521994	1.0956	0
